preference_loop.thisRepN,preference_loop.thisTrialN,preference_loop.thisN,preference_loop.thisIndex,buy_loop.thisRepN,buy_loop.thisTrialN,buy_loop.thisN,buy_loop.thisIndex,Wel_come.started,img_continue.started,Dir_text.started,img_continue_4.started,Dir_text.stopped,No_Label_Start.started,img_continue_2.started,blank_img.started,blank_img.stopped,trigger_on_time,trigger_value,img_file,no_tag_image.started,Do_you_like.started,like_slider.started,like_slider.response,like_slider.rt,Label_Start_2.started,img_continue_3.started,tag_image.started,Would_you_buy.started,buy_slider.started,buy_slider.response,buy_slider.rt,Thank.started,img_continue_5.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,12.527586249998421,12.527586249998421,,,,,,,,,,,,,,,,,,,,,,,,,00001,001,2023-05-01_17h18.56.766,My_experiment,2022.2.5,None,
,,,,,,,,,,15.0700991670019,75.0620864169905,75.06730479199905,,,,,,,,,,,,,,,,,,,,,,00001,001,2023-05-01_17h18.56.766,My_experiment,2022.2.5,None,
,,,,,,,,,,,,,82.19436195900198,82.19436195900198,,,,,,,,,,,,,,,,,,,,00001,001,2023-05-01_17h18.56.766,My_experiment,2022.2.5,None,
0,0,0,0,,,,,,,,,,,,93.06626837499789,95.10495270899264,89.55973358399933,01,Slide_013.png,89.55973358399933,92.52708883400192,92.52708883400192,0.0,0.5505289169959724,,,,,,,,,,00001,001,2023-05-01_17h18.56.766,My_experiment,2022.2.5,None,
1,0,1,0,,,,,,,,,,,,99.08277449999878,101.12159454199718,95.10495270899264,01,Slide_005.png,95.10495270899264,98.07958774999133,98.07958774999133,1.0,1.0055220000067493,,,,,,,,,,00001,001,2023-05-01_17h18.56.766,My_experiment,2022.2.5,None,
2,0,2,0,,,,,,,,,,,,104.5456664999947,106.5773111669987,101.12159454199718,01,Slide_149.png,101.12159454199718,104.08443895899109,104.08443895899109,0.0,0.45784145798825193,,,,,,,,,,00001,001,2023-05-01_17h18.56.766,My_experiment,2022.2.5,None,
3,0,3,0,,,,,,,,,,,,110.56198945899087,112.60096099998918,106.5773111669987,01,Slide_001.png,106.5773111669987,109.55159495898988,109.55159495898988,0.0,1.0077359590068227,,,,,,,,,,00001,001,2023-05-01_17h18.56.766,My_experiment,2022.2.5,None,
4,0,4,0,,,,,,,,,,,,116.52947349999158,118.56292712499271,112.60096099998918,01,Slide_029.png,112.60096099998918,115.56929933399078,115.56929933399078,1.0,0.9574048749927897,,,,,,,,,,00001,001,2023-05-01_17h18.56.766,My_experiment,2022.2.5,None,
5,0,5,0,,,,,,,,,,,,122.17953412499628,124.21368341699417,118.56292712499271,01,Slide_017.png,118.56292712499271,121.530110666994,121.530110666994,0.0,0.6476083750021644,,,,,,,,,,00001,001,2023-05-01_17h18.56.766,My_experiment,2022.2.5,None,
6,0,6,0,,,,,,,,,,,,127.76722116699966,129.80117458399036,124.21368341699417,01,Slide_065.png,124.21368341699417,127.18479141699208,127.18479141699208,0.0,0.5829449580051005,,,,,,,,,,00001,001,2023-05-01_17h18.56.766,My_experiment,2022.2.5,None,
7,0,7,0,,,,,,,,,,,,133.26318408398947,135.3011883339932,129.80117458399036,01,Slide_105.png,129.80117458399036,132.7811182919977,132.7811182919977,0.0,0.48045504100446124,,,,,,,,,,00001,001,2023-05-01_17h18.56.766,My_experiment,2022.2.5,None,
8,0,8,0,,,,,,,,,,,,139.06351183399966,141.0992811670003,135.3011883339932,01,Slide_113.png,135.3011883339932,138.26979108399246,138.26979108399246,0.0,0.789962499999092,,,,,,,,,,00001,001,2023-05-01_17h18.56.766,My_experiment,2022.2.5,None,
9,0,9,0,,,,,,,,,,,,144.9516582919896,146.98008787499566,141.0992811670003,01,Slide_073.png,141.0992811670003,144.06425641699752,144.06425641699752,0.0,0.888574290991528,,,,,,,,,,00001,001,2023-05-01_17h18.56.766,My_experiment,2022.2.5,None,
10,0,10,0,,,,,,,,,,,,150.36374975000217,152.40717533399584,146.98008787499566,01,Slide_089.png,146.98008787499566,149.96431291699992,149.96431291699992,0.0,0.39682579100190196,,,,,,,,,,00001,001,2023-05-01_17h18.56.766,My_experiment,2022.2.5,None,
11,0,11,0,,,,,,,,,,,,156.1846404169919,158.22185420899768,152.40717533399584,01,Slide_077.png,152.40717533399584,155.36919399999897,155.36919399999897,1.0,0.8165708339947741,,,,,,,,,,00001,001,2023-05-01_17h18.56.766,My_experiment,2022.2.5,None,
12,0,12,0,,,,,,,,,,,,161.68461133399978,163.71972879199893,158.22185420899768,01,Slide_117.png,158.22185420899768,161.18619449999824,161.18619449999824,1.0,0.4996332909940975,,,,,,,,,,00001,001,2023-05-01_17h18.56.766,My_experiment,2022.2.5,None,
13,0,13,0,,,,,,,,,,,,167.2515397919924,169.2911100420024,163.71972879199893,01,Slide_101.png,163.71972879199893,166.68588062499475,166.68588062499475,0.0,0.5665023329929681,,,,,,,,,,00001,001,2023-05-01_17h18.56.766,My_experiment,2022.2.5,None,
14,0,14,0,,,,,,,,,,,,173.7689234999998,175.82057508399885,169.2911100420024,01,Slide_129.png,169.2911100420024,172.26509941699624,172.26509941699624,1.0,1.505100249996758,,,,,,,,,,00001,001,2023-05-01_17h18.56.766,My_experiment,2022.2.5,None,
15,0,15,0,,,,,,,,,,,,179.3312494999991,181.35878887498984,175.82057508399885,01,Slide_061.png,175.82057508399885,178.78134483400208,178.78134483400208,0.0,0.5480968339979881,,,,,,,,,,00001,001,2023-05-01_17h18.56.766,My_experiment,2022.2.5,None,
16,0,16,0,,,,,,,,,,,,184.8851500000019,186.9222818339913,181.35878887498984,01,Slide_049.png,181.35878887498984,184.3376494589902,184.3376494589902,1.0,0.5497952500008978,,,,,,,,,,00001,001,2023-05-01_17h18.56.766,My_experiment,2022.2.5,None,
17,0,17,0,,,,,,,,,,,,190.79826583398972,192.83852933399612,186.9222818339913,01,Slide_125.png,186.9222818339913,189.89955891699356,189.89955891699356,1.0,0.8966650420043152,,,,,,,,,,00001,001,2023-05-01_17h18.56.766,My_experiment,2022.2.5,None,
18,0,18,0,,,,,,,,,,,,196.5985822090006,198.6336804169987,192.83852933399612,01,Slide_045.png,192.83852933399612,195.79893012499087,195.79893012499087,0.0,0.7964041250088485,,,,,,,,,,00001,001,2023-05-01_17h18.56.766,My_experiment,2022.2.5,None,
19,0,19,0,,,,,,,,,,,,202.10249445900263,204.14756679200218,198.6336804169987,01,Slide_093.png,198.6336804169987,201.60449766699458,201.60449766699458,0.0,0.50014225000632,,,,,,,,,,00001,001,2023-05-01_17h18.56.766,My_experiment,2022.2.5,None,
20,0,20,0,,,,,,,,,,,,207.56929045899597,209.60487320899847,204.14756679200218,01,Slide_085.png,204.14756679200218,207.11612249999598,207.11612249999598,0.0,0.4556644169933861,,,,,,,,,,00001,001,2023-05-01_17h18.56.766,My_experiment,2022.2.5,None,
21,0,21,0,,,,,,,,,,,,212.9823105839896,215.0215737089893,209.60487320899847,01,Slide_053.png,209.60487320899847,212.5701577919972,212.5701577919972,1.0,0.40845483299926855,,,,,,,,,,00001,001,2023-05-01_17h18.56.766,My_experiment,2022.2.5,None,
22,0,22,0,,,,,,,,,,,,218.73245783399034,220.76966766700207,215.0215737089893,01,Slide_133.png,215.0215737089893,217.9871780419926,217.9871780419926,0.0,0.7428169580089161,,,,,,,,,,00001,001,2023-05-01_17h18.56.766,My_experiment,2022.2.5,None,
